Name,information_gain
5173,flooded
10471,recreio
13095,trojan
10485,redefine
7725,lore
13886,webunbelievabubblea
2170,citizenship
6830,investigate
14112,xandialexandersubmission
12512,talkies
8540,mágicos
10870,rewritten
736,aproxima
3356,deluxe
13229,uk
12141,stores
10678,reports
11623,sims
9927,priceyou
7468,lenght
12267,submissionsupcoming
3199,darn
12992,trains
660,anúncios
3557,devblog
4999,ffwmquwkpe
6583,indicador
4940,federation
3528,detail
4587,evite
6805,introducing
11678,six
241,aegis
7711,longas
3771,dive
5800,global
9566,piranha
9576,pixark
9266,paredes
9169,oxford
7885,managers
13364,unstoppable
6675,insaniquarium
8932,ohne
4158,efforts
9624,platformspc
1345,bhttps
9404,pelas
9246,papo
6132,heartbreaking
3966,dropdown
12645,terms
11506,shenanigansstarts
525,amigo
12860,to
13669,visceral
12474,tactics
7649,livro
7508,liberate
7467,lendário
9311,party
857,ascii
556,andando
5522,galaxysign
1711,bundleslog
7848,main
5450,full
2301,coletar
3606,dialog
9380,paynova
9964,probability
12498,taken
14213,zodiarcs
6292,hone
3405,deponia
1397,bitsy
5,_size
8371,mood
11210,scavenger
5600,gamesgame
5492,fynn_svenson
13203,técnicos
12244,submissionlewd
12655,terrenos
10464,recording
11893,spaces
12762,thoughts
3431,desbloqueando
5607,gameslearn
7667,locais
12779,thrilling
12156,storyprofessional
14129,xi
11833,somebody
13267,undergrowth
5893,grandpre
5118,fireworks
4289,encontradas
8173,mhz
5343,freedelveplatformer
6260,hog
12581,tech
3764,district
4789,facy
2874,cosmic
4559,europa
10857,revo
6445,ignitionminha
1226,battletech
8692,night
4781,facilmente
1093,awoker
6704,installer
1668,buddywant
4300,encourage
8812,nu
9636,playerco
12314,suit
5196,fmodaudio
5073,filtered
8755,nossas
4598,exaggerate
1000,ausstehend
3128,cyclopic
9571,pit
9834,powerups
9300,partida
702,apple
3303,dedicating
3899,downloads
12514,talks
5062,film
12933,total
7305,kuju
12850,titans
12391,survived
11747,slothy
4401,environments
4156,effort
5759,gifting
13535,velha
10491,redlynx
7871,mal
994,august
3081,currentlanguagecode
8824,nukgames
13230,ukrainian
8428,motion
12452,systemos
10283,radioactive
10463,recordes
14302,전체이용가
9833,powers
521,americas
13288,unearth
9372,payback
455,allitems
13032,tratando
7624,listening
4837,fans
7504,liamsortastarts
11465,shacknews
4414,equip
8020,mcalester
11946,spellbound
7692,login
6538,in
1990,certificate
7674,locally
13171,tweet
10458,recompensas
12467,tabletop
2032,chaptersheroes
12011,srl
12580,teaser
8527,myshunocheck
9816,pottering
7538,liek
1081,awakened
11743,slopes
323,agoninja
10301,rainbow
661,ao
5274,fortify
12737,thick
9160,own
4746,extinction
8154,metal
13954,wiiu
12964,trabalho
93,accumulating
7846,mailed
4897,favourable
4103,editionfut
13713,vocês
9073,os
71,accessories
8829,numanbaran
13332,unlimited
12137,storeaboutcommunitysupport
722,apr
8839,nunesshooter
6709,installments
5119,first
13486,valleyminha
6524,impromptu
13174,twenty
3426,desafios
7973,masteroidmine
12927,torpedoes
12506,talent
12694,tf
9720,political
7723,lord
6070,happily
4854,faqs
7593,linked
1572,bran
6544,inbox
5042,filerelease
13225,uge
8170,mexico
2972,creature
1118,backgrounds
10839,reveal
3768,disturbing
6617,infiltrate
6409,hy
13607,video
12661,território
14219,zone
2000,chains
398,alan
7255,kiss
9270,parenthesis
8174,miami
13290,unepic_fran
12928,torresestratégia
8082,member
13754,vr
7210,keynote
10139,publicly
2597,comunidadefacebooktwittertwitch
10050,projeto
10907,ridonculousguy
6940,jamenter
1258,bed
6543,inaugural
1316,benzos
1541,bosses
3078,currency
9282,parries
10790,restrictions
12837,tips
5895,granting
1027,automated
7058,joinedforge
8104,ment
10006,productsscreenshots
256,affiliates
9880,prepared
6635,informationpublished
2571,composed
8386,morechristmas
7576,limitado
10030,programem
6614,infestado
4291,encontrados
7450,legion
5238,forces
7759,ltd
12812,tigerjsubmission
10803,resumed
13992,winner
3839,dollar
13356,unresponsivewhen
9512,phenomenal
8662,nevertheless
10347,ratedrecently
3474,desenvolvidos
13496,vamos
9415,pentium
2956,create
14025,witchinga
13664,virtus
10238,querem
2237,clothes
3542,determine
12555,tbc
2475,comicsð
12235,submarines
2379,collectiontempests
7428,learned
10048,projekt
2125,christmas
11930,specific
8793,noveltags
2857,corresponding
10128,psychotic
1771,calaca
1330,bestselling
4039,dystopia
9618,plate
5000,ffx
9522,photo
13286,undulating
8161,metro
12159,storytelling
6071,happy
12906,topicview
10699,required
9168,oxenfree
6517,imposter
8408,moreyou
5064,filme
10669,reply
4621,exclude
9186,packnão
13416,upto
6323,hospital
2011,championship
7773,ludum
13010,transform
11580,sidebar
9023,optional
10442,reclusivegamer
5188,fluidly
12781,throne
12085,stealthy
12740,thieves
10832,returning
9599,plan
11043,rpghello
13601,victis
643,antigos
4303,encroach
7794,lwjgl
1123,backup
11417,servers
7791,luz
10518,refinements
13927,when
480,alteraçõesdeslogarsuas
6665,innovate
10311,rambling
780,ark
4752,extraction
1916,catalog
7617,liquivid
8689,nier
4340,englishanother
4098,editiondiscover
6545,inboxes
9048,orderthe
13822,warp
3841,dolphin
9842,praise
1017,authorsthe
10404,realy
11631,simulationmanager
86,accountable
2964,creative
8574,narrowly
5537,gamebau
6674,insanely
6526,improperly
7612,linuxrating
8403,moresuportehow
3600,dhlpsv
9302,parties
1655,browsing
12233,subject
4571,eventsfixed
7498,leveraging
4278,enable
5058,fileweekly
10592,releasing
3369,demoi
42,absorption
10930,risen
5866,gothic
4734,expressions
6025,hacknet
577,animais
12110,steve
1671,bug
10085,protect
9368,pause
5457,funcional
7879,man
6597,indivíduo
2189,clarification
2434,com
1624,brilhantes
7356,languagehosted
13951,widget
12297,sucesso
5226,fome
3002,cristiano
7338,lamar
1186,barrels
1852,car
11787,snowblind
6186,heroesdouble
9572,pitch
14116,xavierproduced
8764,notes
3547,detê
7108,joust
7877,malévola
1538,borracha
8182,midgardem
10960,robust
8467,msi
5656,garfield
360,agradável
13383,updated
11780,snapshot
10697,requests
12784,throughout
6724,insurgency
55,accelerated
5931,greyed
9080,ostkingdom
7906,manuais
9171,p_sid
1309,beneath
2679,conquer
4475,espacial
10095,provavelmente
8406,moreversion
197,admin
4557,euro
853,asa
11516,shipping
2493,commission
10543,regeneration
4249,emi
6717,instantâneo
1298,belt
5741,gg
4227,em
12214,studiossubmission
6671,inregister
13164,tutorials
4433,eredivisie
9884,prequels
6179,here
777,argentina
13168,tweak
5397,french
12596,teens
1534,borders
9822,pound
1449,blockbuster
9686,poderiam
2760,continuação
2419,colossal
9855,precisos
12302,sudoku
486,alters
12646,termslegalcontact
127,acquires
13651,violence
4339,english
6438,idunasoft
7824,made
8491,multiple
3762,distributor
7569,liking
11384,sentindo
11713,skyrim
1845,captivating
2339,collectionguardian
12012,ssl
8139,messageconcerning
10206,quadro
8401,morerecruit
9894,president
3731,display
9055,organized
2322,collectionclose
13860,wd
2392,collector
12212,studiosadventureadd
3256,deadlier
13854,wayaward
11221,scheme
9115,outr
12422,swedish
125,acquire
5165,flicking
9283,parrots
11087,rust
6427,icónicas
13085,trip
6581,indev
10626,removable
8577,nascido
7596,links
11480,shantae
12664,terrorist
1215,battlefield
11239,scoretext
5578,gamers
4536,estrela
991,audrey
8847,nuvens
7950,martianspurple
6976,jaunty
1398,bitten
873,aspect
10153,pulsing
4370,entendi
7191,keep
684,apoio
8582,national
488,although
5848,goodies
235,advices
1746,buy
6741,intensive
24,abilities
7158,justice
1693,bumble
10885,rican
2350,collectionlove
11881,south
13552,vengeful
4590,evolução
12593,tedcombobulatesubmission
2999,criminal
10148,pug
4747,extinguir
3815,documentary
3625,diferentes
4016,dutch
2623,conectado
3717,discs
6593,indisponíveis
6719,instituições
4773,face
11449,setupafter
1856,card
9147,overthrow
9782,positivevotescount
9966,problem
13207,títulos
6439,idéias
3628,differences
13316,unite
1180,bark
13994,winnipeg
4203,elex
2260,cnut
7519,libraryextended
7281,knvb
8385,morebecome
9204,page
1989,certeza
6987,jedi
278,agile
11908,spanish
3444,desconto
11556,shovels
2845,corners
11359,selling
2968,creator
6554,includes
8125,merciless
8624,needless
3153,dalmascan
10517,refined
9638,playermulti
7426,leap
13903,well
10481,rede
8891,occurred
13554,venice
4265,employs
7796,lydia
2718,construction
12172,stream
12403,suzaku
1436,blend
7491,levantam
9500,pets
7721,loose
3514,destroy
2504,communication
12366,supreme
12320,summary
6103,hawaiian
7547,lift
1810,cancele
8832,numberless
10019,profilesby
13649,vinland
4619,excitementnew
2770,contrastinteractive
9524,photography
9535,picking
11529,shogun
4600,example
6766,interior
2798,convenientes
14265,для
2936,crania
2899,countless
1022,autocomplete
3182,dar
7349,landsa
1474,blueprint
1290,belief
13938,whirl
9439,pergunta
1959,cdprojekt
11141,salt
8392,morein
11166,sandyhview
9539,picnic
4447,esboçadas
1321,besides
972,attribute
1941,cavalos
2329,collectiondo
12847,tissue
11319,seem
5010,fictiontagsart
12660,territory
6588,indicativa
1441,blind
6491,immerse
3173,dano
13846,watermelon
744,aquire
4399,environment
13693,vivamedia
13950,wider
14197,zanga
1742,buttonblind
13310,uninstall
7030,jogospolíticasfale
7080,joinedpast
9648,playful
4916,fe
7501,lewis
7990,mathematical
6787,intertwined
370,aguardando
2816,convoys
227,adventurerelease
2089,chessgames
7482,let
627,antecipado
8455,movements
5676,gdc
9878,preorders
10514,referrals
12729,theory
10218,quantum
3513,destiny
13066,triband
6290,homeworld
10077,proportions
9063,originally
4970,female
6210,high
13678,visseradd
2312,collecting
9610,plans
12753,thirty
7998,mature
2239,cloud
8732,nome
11473,shadownetget
8350,monkeys
12804,tide
7713,longer
10047,projects
13589,vfx
10145,pubnub
1679,build
7402,law
6477,imbed
1467,blossomsthedismalsimmermodern
11132,sale
5770,giraffe
1560,box
9014,opshared
1951,cc
5295,fox
14073,world
1210,batman
10658,replay
13193,type
1559,bows
11823,solo
7119,jr
178,adhoc
490,altogether
3823,dog
12169,strategies
5655,gaream
13890,weekend
8200,militia
3100,customisable
6746,interact
12130,stonewitcher
12841,tired
9738,pool
697,appearances
8595,nazario
5677,gdl
3482,desfruta
8315,modificação
13795,want
6972,japanese
10113,príncipe
13408,uploaded
14154,year
8342,monday
4673,expansão
9554,pilotos
10196,públicos
10035,programs
7872,malay
11772,smooth
1404,bl
12155,storyline
3952,driven
7115,joystick
1664,buckle
12386,surroundings
297,agodon
14128,xhosted
2230,clique
10921,ring
10042,project
1617,brigadea
7926,marca
1043,availible
3388,denmark
10939,river
568,angel
470,along
3382,demónios
5131,fix
9467,personalidade
979,atualizações
13729,voltarão
3986,duas
3314,defeat
9695,pogo
11143,saltyou
6957,jamsupload
8663,neverwinter
4400,environmental
5877,grab
6856,ippo
10115,próprios
8391,moregreat
12413,swarm
4432,eredin
440,alimentado
4010,duration
2374,collectionsprojects
7665,lobby
7760,ltda
796,armies
12272,submissionyou
8487,multiplayerlinkshelp
12427,swim
3552,dev
11860,sorry
1767,cadalin
11753,slowly
4765,eyeswhat
752,arc
4264,employees
1635,brl
5767,gilesadd
3791,dk
7471,lengthy
5687,gems
13422,uruguay
1555,bounty
8326,moedadeslogarfazer
7741,love
282,agoah
8538,mythology
2612,concertem
10204,qnu
1455,blogdownloaddownloadwindows
9139,overhead
6160,hello
1501,bolt
3568,developmentð
10374,re
13276,understanding
9052,organically
1336,better
6613,inferno
2917,covered
12124,stolen
2014,chances
3615,dias
10430,recentes
1060,aventuracompartilhartweetcompartilhar
3123,cyberhippie
14217,zombies
8835,numerosos
2856,correspondence
